"STATE","ST_CASE","VE_TOTAL","VE_FORMS","PVH_INVL","PEDS","PERNOTMVIT","PERMVIT","PERSONS","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","NHS","ROAD_FNC","ROUTE","TWAY_ID","TWAY_ID2","MILEPT","LATITUDE","LONGITUD","SP_JUR","HARM_EV","MAN_COLL","RELJCT1","RELJCT2","TYP_INT","REL_ROAD","WRK_ZONE","LGT_COND","WEATHER1","WEATHER2","WEATHER","SCH_BUS","RAIL","NOT_HOUR","NOT_MIN","ARR_HOUR","ARR_MIN","HOSP_HR","HOSP_MN","CF1","CF2","CF3","FATALS","DRUNK_DR"
48,482685,2,2,0,0,0,2,2,85,92,19,12,2011,2,1,48,0,16,5,"SAM RAYBURN TOLLWAY           ","                              ",0,33.12831667,-96.72306944,0,12,6,0,1,1,1,0,2,10,0,10,0,"0000000",88,88,88,88,88,88,19,0,0,1,1
48,482686,2,2,0,0,0,4,4,453,0,19,12,2011,2,16,12,0,6,4,"BARTON CREEK BLVD             ","                              ",0,30.29744722,-97.85654167,0,12,6,0,1,1,1,0,1,2,0,2,0,"0000000",16,15,16,21,17,10,0,0,0,1,0
48,482687,1,1,0,0,0,1,1,201,3280,28,12,2011,4,9,5,1,11,1,"I-610                         ","                              ",51,29.71458889,-95.26641944,0,26,0,0,5,1,4,0,1,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482688,1,1,0,0,0,15,15,381,0,30,12,2011,6,13,47,1,1,1,"I-27                          ","                              ",154,34.96693056,-101.86979722,0,1,0,0,1,1,2,0,1,1,0,1,0,"0000000",13,52,14,12,15,0,0,0,0,3,0
48,482689,2,2,0,0,0,3,3,469,0,30,12,2011,6,14,40,1,13,2,"US-77                         ","                              ",101,28.76793611,-97.09424167,0,12,6,0,1,1,1,0,1,1,0,1,0,"0000000",14,50,14,58,15,56,0,0,0,1,0
48,482690,1,1,0,0,0,1,1,113,1730,31,12,2011,7,20,51,1,11,7,"I-20                          ","KIRNWOOD DR                   ",111,32.65143056,-96.86986667,0,1,0,0,2,3,1,0,3,1,0,1,0,"0000000",20,55,20,58,99,99,0,0,0,1,1
48,482691,1,1,0,0,0,1,1,29,1209,11,4,2011,2,2,37,1,11,7,"I-410                         ","FM 1535                       ",194,29.52099444,-98.51077222,0,21,0,1,3,3,10,0,3,2,0,2,0,"0000000",2,44,2,48,3,31,0,0,0,1,0
48,482692,1,1,0,1,1,1,1,141,9997,10,5,2011,3,21,17,1,13,8,"FM-76                         ","RIO VISTA RD                  ",108,31.65907778,-106.27364722,0,8,0,0,3,2,1,0,2,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,1
48,482693,1,1,0,0,0,5,5,197,0,18,9,2011,1,18,57,0,6,4,"MAYFIELD ROAD                 ","                              ",0,34.31516111,-99.75542222,0,1,0,0,1,1,1,0,1,1,0,1,0,"0000000",18,58,19,6,19,21,0,0,0,1,0
48,482694,3,2,1,0,0,3,3,479,3899,18,9,2011,1,6,45,0,16,5,"CORPUS CHRISTI ST             ","LOGAN AVE                     ",0,27.50838056,-99.488625,0,12,6,0,2,2,1,0,1,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,1
48,482695,1,1,0,0,0,2,2,27,3027,1,10,2011,7,0,41,0,16,5,"MOUNTAIN LION RD              ","                              ",0,31.06027778,-97.67730833,0,1,0,0,1,1,4,0,2,1,0,1,0,"0000000",0,50,0,59,1,34,0,0,0,1,1
48,482160,2,2,0,0,0,4,4,453,0,29,10,2011,7,16,37,0,6,4,"SPICEWOOD SPRINGS RD          ","YAUPON DR                     ",0,30.39094444,-97.77679722,0,12,6,0,2,3,1,0,1,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,1
48,482161,2,2,0,0,0,3,3,257,6830,18,8,2011,5,17,14,1,13,2,"US-80                         ","                              ",161,32.73474167,-96.263725,0,12,1,0,8,1,1,0,1,1,0,1,0,"0000000",17,22,17,30,17,48,0,0,0,2,0
48,482162,1,1,0,0,0,1,1,439,2450,28,8,2011,1,18,20,0,16,5,"RIVERSIDE DR                  ","                              ",0,32.87011667,-97.30318611,0,42,0,0,1,1,5,0,1,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482163,1,1,0,0,0,1,1,303,4140,5,9,2011,2,21,28,0,16,5,"39TH ST                       ","                              ",0,33.55835278,-101.90760278,0,42,0,0,1,1,5,0,2,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482164,1,1,0,1,1,1,1,439,2450,15,9,2011,5,8,35,0,16,5,"CROMART CT                    ","                              ",0,32.67403333,-97.36781944,0,8,0,0,1,1,1,0,1,10,0,10,0,"0000000",8,40,8,42,8,58,0,0,0,1,0
48,482165,1,1,0,1,1,1,1,439,2450,17,9,2011,7,2,15,1,13,8,"BU 287P                       ","                              ",74,32.68134444,-97.27575,0,8,0,0,1,1,1,0,3,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482166,2,2,0,0,0,2,2,339,0,4,10,2011,3,1,5,0,3,8,"FM 1314                       ","                              ",135,30.17138333,-95.32005,0,12,2,0,1,1,1,0,2,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482167,2,2,0,0,0,2,2,479,0,6,10,2011,5,7,15,0,5,8,"FM 1472                       ","                              ",105,27.75634167,-99.75906944,0,12,2,0,1,1,1,0,1,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482168,2,2,0,0,0,3,3,15,0,7,10,2011,6,6,3,1,2,3,"SR-36                         ","                              ",23,29.84599444,-96.17560833,0,12,2,0,1,1,1,1,2,10,0,10,0,"0000000",6,27,6,49,7,25,0,0,0,1,0
48,482169,1,1,0,0,0,2,2,39,0,9,10,2011,1,6,18,0,6,4,"208                           ","                              ",0,29.18951944,-95.29318056,0,53,0,0,1,1,4,0,2,2,0,2,0,"0000000",6,25,6,58,8,2,0,0,0,1,1
48,482170,1,1,0,0,0,2,2,453,0,9,10,2011,1,0,29,0,6,4,"LITTIG                        ","                              ",0,30.32370556,-97.4642,0,42,0,0,1,1,5,0,2,10,0,10,0,"0000000",0,14,0,30,99,99,0,0,0,1,1
48,482171,2,2,0,0,0,2,2,201,0,12,10,2011,4,6,15,0,6,4,"ADDICKS SATSUMA               ","                              ",0,29.86264444,-95.63287778,0,12,2,0,1,1,1,0,2,1,0,1,0,"0000000",6,31,6,36,7,13,0,0,0,1,1
48,482172,1,1,0,0,0,2,2,223,0,12,10,2011,4,1,50,0,3,3,"SR-11                         ","                              ",204,33.16618056,-95.69738333,0,11,0,0,1,1,1,0,2,1,0,1,0,"0000000",1,53,2,4,2,38,0,0,0,1,0
48,482173,2,2,0,0,0,2,2,309,7210,13,10,2011,5,19,5,0,16,5,"IMPERIAL DR                   ","OLD HEWITT RD                 ",0,31.49190278,-97.20813333,0,12,6,0,2,2,1,0,3,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
